book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
7903.0,0.141,My Country 'Tis of Thee,Keith Ellison,3.6,1042.0,17.0,"Memoir, Politics, Biography, Religion, Nonfiction, Islam, Autobiography"
6155.0,0.141,wtf,Peter Lerangis,3.24,1242.0,165.0,"Young Adult, Realistic Fiction, Fiction, Adventure, Teen, Novels, Action"
6336.0,0.14,Thanks for the Memories,Cecelia Ahern,3.7,43592.0,2412.0,"Chick Lit, Romance, Fiction, Contemporary, Fantasy, Adult, Contemporary Romance"
12678.0,0.14,The Devil Colony,James Rollins,4.18,26117.0,1300.0,"Thriller, Fiction, Adventure, Mystery, Action, Suspense, Mystery Thriller"
1166.0,0.14,Journey,Aaron Becker,4.37,12816.0,2066.0,"Picture Books, Fantasy, Childrens, Adventure, Fiction, Art, Kids"
12496.0,0.14,The Wright Brothers,David McCullough,4.15,89551.0,6900.0,"History, Biography, Nonfiction, American History, Aviation, Audiobook, Science"
1582.0,0.14,Lean Thinking: Banish Waste and Create Wealth in Your Corporation,James P. Womack,3.92,5771.0,120.0,"Business, Nonfiction, Management, Leadership, Buisness, Productivity, Personal Development"
2094.0,0.14,The Dread,Gail Z. Martin,4.15,1804.0,49.0,"Fantasy, Epic Fantasy, Magic, Fiction, High Fantasy, Science Fiction Fantasy, Dark Fantasy"
5847.0,0.139,Mark of Four,Tamara Shoemaker,4.46,35.0,8.0,Young Adult
7754.0,0.139,The Iron King,Julie Kagawa,3.88,209728.0,13180.0,"Fantasy, Young Adult, Romance, Paranormal, Fae, Fairies, Urban Fantasy"
12183.0,0.139,Nickel and Dimed,Barbara Ehrenreich,3.65,189488.0,7190.0,"Nonfiction, Sociology, Politics, Economics, Memoir, Social Justice, Poverty"
13266.0,0.139,The Siege of Mecca: The Forgotten Uprising in Islam's Holiest Shrine and the Birth of al-Qaeda,Yaroslav Trofimov,4.2,2251.0,281.0,"History, Nonfiction, Islam, Religion, Politics, Terrorism, War"
7561.0,0.138,"Barracoon: The Story of the Last ""Black Cargo""",Zora Neale Hurston,4.03,27831.0,3605.0,"Nonfiction, History, Biography, Race, Audiobook, Africa, African American"
1748.0,0.138,Orlando,Virginia Woolf,3.87,84734.0,6814.0,"Classics, Fiction, Historical Fiction, LGBT, Queer, Fantasy, Feminism"
5533.0,0.138,Byzantium,Stephen R. Lawhead,4.2,5006.0,368.0,"Historical Fiction, Fiction, Fantasy, Historical, Christian, Christian Fiction, Adventure"
